9	258416	idle
11	258416	idle
13	258416	idle
15	258416	idle
17	258416	idle
26	281580	composing
28	911528	composing
30	1284808	composing
32	1403800	composing
34	1680356	composing
36	1773816	composing
38	1773816	composing
40	1773808	composing
42	1773808	composing
44	1066120	composing
46	794844	composing
48	794844	composing
50	794844	composing
52	794844	composing
54	794844	composing
56	794844	composing
58	794844	composing
60	794844	composing
62	794848	composing
64	794848	composing
66	794848	composing
68	794848	composing
70	794848	composing
72	794848	composing
74	794848	composing
76	794848	composing
78	794848	composing
80	794848	composing
82	794848	composing
84	794848	composing
86	794848	composing
88	794848	composing
90	794848	composing
92	794848	composing
94	794848	composing
96	794848	composing
98	794848	composing
100	794848	composing
102	794848	composing
104	794848	composing
106	794848	composing
109	794848	composing
111	794848	composing
113	794848	composing
115	794848	composing
117	794848	after
119	794848	after
121	794848	after
123	794848	after
125	794848	after
127	794848	after
129	794848	after
131	794848	after
133	794848	after
135	794848	after
137	794848	after
139	794848	after
141	794848	after
143	794848	after
145	794848	after
147	794848	after
149	794848	after
151	794848	after
153	794848	after
155	794848	after
157	794848	after
159	794848	after
161	794848	after
163	794848	after
165	794848	after
167	794848	after
169	794848	after
171	794848	after
173	794848	after
